Sample ID	Tested R Phenotype	Predicted R Phenotype	Correct R Prediction	Correct S Prediction	Overprediction	Underprediction
C0072	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0276	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0411	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, gentamicin_C	ampicillin, cefalotin	ceftazidime, meropenem, piperacillin-tazobactam, amikacin, tobramycin, ciprofloxacin	gentamicin_C	cefazolin, trimethoprim-sulfamethoxazole, cefixime, ceftriaxone, amoxicillin-clavulanic_acid, nitrofurantoin, cefoxitin, tetracycline
C0030	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0261	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0090	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	meropenem, gentamicin_C, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0167	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	piperacillin-tazobactam, amikacin, tobramycin	meropenem, gentamicin_C	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0129	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0166	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0138	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C1445	ampicillin, amoxicillin-clavulanic_acid, cefazolin, ciprofloxacin, cefixime, ceftazidime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	amikacin, tobramycin	gentamicin_C	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0031	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0355	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0366	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	meropenem, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	ceftazidime, gentamicin_C, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0398	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ceftazidime, gentamicin_C	ampicillin, cefalotin	meropenem, piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, gentamicin_C	cefazolin, trimethoprim-sulfamethoxazole, cefixime, ceftriaxone, amoxicillin-clavulanic_acid, nitrofurantoin, cefoxitin, tetracycline, ciprofloxacin
C0091	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	meropenem, gentamicin_C, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
